#,#
% of total,Жами %
(no name),(исмсиз)
Failed to save deal.,Битимни сақлаб бўлмади.
Failed to save lead.,Лидни сақлаб бўлмади.
Failed to save location.,Жойлашувни сақлаб бўлмади.
Failed to save materials.,Материалларни сақлаб бўлмади.
Failed to save OSA audit.,OSA аудитини сақлаб бўла олмади.
Failed to save photo report.,Сурат ҳисоботини сақлаб бўла олмади.
Failed to save planogram.,Планограммани сақлаб бўла олмади.
Failed to save process.,Жараённи сақлаб бўлмади.
Failed to save promo scheme.,Рекламалаш схемасини сақлаб бўла олмади.
Failed to save stock entry.,Қўй ҳарақатини сақлаш қутулмади.
Failed to save transport cost.,Ташиш нархини сақлаб бўлмади.
Failed to save van stock.,Машина қўйси сақлаш қутулмади.
Failed to save visit.,Ташрифни сақлаш қутулмади.
Failed to save.,Сақлаб бўлмади.
Failed to search items.,
Failed to submit expense.,
Failed to submit transfer.,
Failed to submit.,Тасдиқлаш қутулмади.
Failed to switch language.,Тилни алмаштириб бўлмади.
Failed to toggle status.,
Failed to unlink the bill.,Ҳисобни узиб бўлмади.
Failed to unlink.,Узиб бўлмади.
Failed to update bill.,Ҳисобни янгилаб бўлмади.
Failed to update CBU rates.,CBU курсларини янгилаб бўлмади.
Failed to update color.,
Failed to update journal entry.,Проводкани янгилаб бўлмади.
Failed to update promo plan.,Реклама режасини янгилаш қутулмади.
Failed to update status.,Ҳолатни янгилаш қутулмади.
Far district,
favorable,
FCL,FCL
Female,Аёл
Fetch,Юклаш
Fetched,Юкланди
FG Whse,
Field Receivables,
Field Sales,Соли майдони
Field User,Фойдаланувчи майдони
Field User is required.,Фойдаланувчи майдони зарур.
Field user is required.,Фойдаланувчи майдони зарур.
Field User name is required.,Фойдаланувчи номи майдони зарур.
Field Users,Фойдаланувчилар майдони
Field users represent sales reps who execute visits and own van stock.,Фойдаланувчилар майдони ташрифларни бажарувчи ва машина қўйсига эга сотув вакиллари намояндалик қилади.
File,Fayl
Files,Файллар
files,fayllar
Fill from category,Категориядан тўлдириш
Fill in the inputs on the left to see the day result.,
Fill in the required fields before submitting.,Тасдиқлаш олдин зарур майдонларни тўлдириш.
Filter,Фильтр
Filter warnings,Огоҳлантиришларни филтрлаш
Filtered to one lot,Битта лот бўйича фильтрланган
Filters,Филтрлар
Finance,Молия
Financed,Молиялаштирилган
Financial,
Financial Statements,
Find bills to link,Боғлаш учун ҳисобларни топиш
Find item,
Fines,Жарималар
Finish,Якунлаш
Finish failed.,Якунлаш муваффақиятсиз.
Finish Google Drive setup,Google Drive созлашни якунланг
Finish Order,
Finish Production Run,
Finish setup,Созлашни якунлаш
Finished Good,
Finished good,Тайёр маҳсулот
Finished-goods warehouse,Тайёр маҳсулот омбори
First Name,Исм
First name,Исм
First name is required.,Исмни киритинг.
First payment date,Биринчи тўлов санаси
Fiscal Year,
Fiscal year,
Fix,Тузатиш
Fixed cut-off. Optional.,
Fixed deduction on first late minute past grace.,
Fixtures directory missing: {0},Арматура директорияси йўқ: {0}
Flat fee (UZS),
Flat fee per step,
Flat view,Рўйхат кўриниши
Flexible,
Food & Beverage,Озиқ-овқат ва ичимлик
for whole invoice,бутун ҳисоб-фатура учун
Force allow over-stock submit (Admin),Омбордаги етишмовчиликка қарамай юборишни мажбуран рухсат бериш (Админ)
Force submit & reserve,Мажбуран юбориш ва захиралаш
Found {0} stock valuation anomalies (missing costs or suspicious rates).,{0} та захира таннархини баҳолашда аномалиялар аниқланди (таннарх етишмайди ёки шубҳали нархлар).
Free,
Free Advance Balance,Эркин аванс қолдиғи
Free Qty,Сўз бутун миқдори
Free qty,
Freeze older than (days),
Freezer,Донғалаш
Freezer pending,Музлатгич кутилмоқда
Freezer push,Музлатгичлар
Freezer ROI,Музлатгич ROI
Freight,Фрахт
Freight & Logistics,Ташиш ва логистика
Freight & Transport,Кира & Транспорт
Freight Booking,Юк ташиш бронлаши
Freight booking,Юк ташиш бронлаши
Freight Booking {0} belongs to another company.,{0} юк ташиш бронлаши бошқа компанияга тегишли.
Freight Bookings,
Frequency,Даврийлик
Fri,Жу
Friday,
From,Дан
From account,Ҳисобдан
From date,
From date cannot be after To date.,
from exchange rate records,валюта курслари ёзувларидан
from GL,БК дан
from HS table,ТН ВЭД жадвалидан
from last bill,охирги ҳисобдан
From tender,Тендердан
From tender deal,Тендер битимидан
From warehouse,Омборидан
From → To,Дан → Гача
Frozen accounts modifier role,
Frozen days cannot be negative.,
Frozen up to (date),
Fulfilment & Billing,
Full name,Тўлиқ исм
Full name (optional — filled automatically on save),
Full screen,Тўлиқ экран
Fully billed but auto-close did not run — use Close below.,
Fully Completed,Тўлиқ бажарилди
Fully Staged,
"furthest past its own threshold, proportionally",ўз чегарасидан нисбатан энг кўп ошган
FX accounts as of {0},
FX favorable,Ижобий курс
FX open,Очиқ валюта
FX rate looks correct,FX курси тўғри
FX rate looks wrong,FX курси нотўғри
FX Revaluation,
FX risk,Валюта хавфи
Gain / Loss,
gap,фарқ
Gap between the agreed price and the documented price,Келишилган ва ҳужжатдаги нарх ўртасидаги фарқ
Gap {amount} · {per_kg} $/kg not allocated to inventory yet,Фарқ {amount} · {per_kg} $/кг ҳали захирага тақсимланмаган
Gate Close,Дарвоза ёпилиши
